k,coherence
5,0.5171960681759993
6,0.5451728185447452
7,0.5516924729329349
8,0.5527328069319208
9,0.5443469078149417
10,0.5511043982797956
11,0.5516077509148611
12,0.5548861722299906
13,0.5630726492510179
14,0.5622703064399981
15,0.5605498182896081
16,0.5608163236825366
17,0.5602861814973003
18,0.5677298086852824
19,0.5634194750323549
20,0.5584935839587364
